Cluster,Channel,Video Count
Cluster 0,---,---
,Music Game News,24
,Nic & Rei,18
,Pinoy Planet,12
,Adam and Jane's Lifestyle,6
,KIM n LEE,6
,Waleska Herrera,6
,Beryl Shereshewsky,5
,FoodieMommaPH,5
,People Vs Food,5
,Big Guy Appetite,4
Cluster 1,---,---
,Waleska Herrera,70
,Adam and Jane's Lifestyle,32
,The Commodity,22
,Pinoy Planet,17
,The Demouchets REACT,16
,TPL Bianca,15
,Justin & Alina,13
,Ken Abroad,13
,Aaron Around,10
,VI3ION,10
Cluster 2,---,---
,Japapino World ジャパピーノ,10
,Pinoy Planet,8
,JUICY REACTS,7
,Nic & Rei,7
,Paolo fromTOKYO,7
,Waleska Herrera,7
,KIM n LEE,6
,Mia Sandoval,6
,Beryl Shereshewsky,5
,Ash and Kels,4
Cluster 3,---,---
,Pinoy Planet,11
,American Entrepreneur in the Philippines,4
,Ken Abroad,3
,The Love Train Nation,3
,Travis Kraft,3
,TriFate Geo,3
,Andjobe,2
,BordersLess Asia,2
,CHACHII-CHAN,2
,Cherry and Trevor,2
Cluster 4,---,---
,The Love Train Nation,10
,Owl of Asia,4
,Pinoy Planet,2
,Waleska Herrera,2
,Alex Fokanoff,1
,BuzzFeed UK,1
,D&J REACT,1
,Foodie Legends,1
,JREKML,1
,La Ferpection,1
Cluster 5,---,---
,The Garcia Family,34
,TriFate Geo,11
,Pinoy Planet,8
,RegenerationNationTV,4
,Mantas Gričėnas,2
,RapidVisa,2
,Waleska Herrera,2
,10 Tampa Bay,1
,Ali and Lyn Diaries,1
,Always Be Changing,1
Cluster 6,---,---
,Waleska Herrera,19
,The Commodity,16
,JREKML,9
,American Entrepreneur in the Philippines,6
,AmysCrypt,6
,TriFate Lifestyle,6
,Reação Imediata,5
,Jeanelleats,4
,NOW UNITED,4
,Pinoy Planet,4
Cluster 7,---,---
,Waleska Herrera,41
,Pinoy Planet,17
,Mia Sandoval,13
,TriFate Geo,9
,KIM n LEE,8
,Adam and Jane's Lifestyle,7
,Ken Abroad,7
,TPL Bianca,7
,Aaron Around,6
,JUICY REACTS,6
Cluster 8,---,---
,TriFate Geo,17
,Pinoy Planet,10
,Brad Newton,5
,The Juicy Vlog,5
,The Bailey Squad,4
,2Passports 1Dream,3
,Dan and Lyn,3
,Aurora's Vlog,2
,Bigg World Cinema,2
,CharlieWayne Adventures,2
